did,all_exp
ID8241,RNAi-V9B23 ;feeding-drop ;48h
ID8242,RNAi-V9B23 ;feeding-drop ;48h
ID8243,RNAi-V9B23 ;feeding-drop ;48h
ID2057,RNAi-V9B23 ;feeding-drop ;24h
ID2059,RNAi-V9B23 ;feeding-drop ;24h
ID2070,RNAi-V9B23 ;feeding-drop ;24h
ID2071,RNAi-V9B23 ;feeding-drop ;24h
ID2072,RNAi-V9B23 ;feeding-drop ;24h
ID2073,RNAi-V9B23 ;feeding-drop ;24h
ID4657,RNAi-V9B23 ;feeding-drop ;24h
ID4658,RNAi-V9B23 ;feeding-drop ;24h
ID4659,RNAi-V9B23 ;feeding-drop ;24h
ID4660,RNAi-V9B23 ;feeding-drop ;24h
ID4661,RNAi-V9B23 ;feeding-drop ;24h
ID4662,RNAi-V9B23 ;feeding-drop ;24h
ID4663,RNAi-V9B23 ;feeding-drop ;24h
ID8326,RNAi-V9B23 ;feeding-3mM ;48h
ID8329,RNAi-V9B23 ;feeding-3mM ;48h
ID8330,RNAi-V9B23 ;feeding-3mM ;48h
ID8331,RNAi-V9B23 ;feeding-3mM ;48h
ID8332,RNAi-V9B23 ;feeding-3mM ;48h
ID8333,RNAi-V9B23 ;feeding-3mM ;48h
ID9751,RNAi ;feeding-drop ;24h
ID9752,RNAi ;feeding-drop ;24h
ID9753,RNAi ;feeding-drop ;24h
ID9754,RNAi ;feeding-drop ;24h
ID9755,RNAi ;feeding-drop ;24h
ID9756,RNAi ;feeding-drop ;24h
ID9757,RNAi ;feeding-drop ;24h
ID9758,RNAi ;feeding-drop ;24h
ID1968,RNAi-III4J10 ;feeding-drop ;24h
ID1967,RNAi-III4J10 ;feeding-drop ;24h
ID1969,RNAi-III4J10 ;feeding-drop ;24h
ID1970,RNAi-III4J10 ;feeding-drop ;24h
ID1971,RNAi-III4J10 ;feeding-drop ;24h
ID1972,RNAi-III4J10 ;feeding-drop ;24h
ID1973,RNAi-III4J10 ;feeding-drop ;24h
ID929,RNAi-III4J10 ;feeding-drop ;24h
ID942,RNAi-III4J10 ;feeding-drop ;24h
ID944,RNAi-III4J10 ;feeding-drop ;24h
ID938,RNAi-III4J10 ;feeding-drop ;24h
ID941,RNAi-III4J10 ;feeding-drop ;24h
ID6051,RNAi ;III-4J10 ;feeding-3mM_48h
ID6052,RNAi ;III-4J10 ;feeding-3mM_48h
ID6053,RNAi ;III-4J10 ;feeding-3mM_48h
ID6054,RNAi ;III-4J10 ;feeding-3mM_48h
ID6055,RNAi ;III-4J10 ;feeding-3mM_48h
ID6058,RNAi ;III-4J10 ;feeding-3mM_48h
ID6102,RNAi ;III-4J10 ;feeding-3mM_48h
ID6103,RNAi ;III-4J10 ;feeding-3mM_48h
ID6119,RNAi ;III-4J10 ;feeding-3mM_48h
ID6100,RNAi ;III-4J10 ;feeding-3mM_48h
ID6094,RNAi ;III-4J10 ;feeding-3mM_48h
ID6095,RNAi ;III-4J10 ;feeding-3mM_48h
ID11337,RNAi-III4J10 ;feeding-drop ;24h
ID11340,RNAi-III4J10 ;feeding-drop ;24h
ID11342,RNAi-III4J10 ;feeding-drop ;24h
ID11321,RNAi-III4J10 ;feeding-drop ;24h
ID11324,RNAi-III4J10 ;feeding-drop ;24h
ID11325,RNAi-III4J10 ;feeding-drop ;24h
ID11326,RNAi-III4J10 ;feeding-drop ;24h
ID11327,RNAi-III4J10 ;feeding-drop ;24h
ID11328,RNAi-III4J10 ;feeding-drop ;24h
ID8107,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID8108,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID8109,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID8110,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID8111,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID8112,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID8215,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID8217,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID7507,mutant-or207
ID7508,mutant-or207
ID7509,mutant-or207
ID7510,mutant-or207
ID7511,mutant-or207
ID7555,mutant-or207
ID7557,mutant-or207
ID7558,mutant-or207
ID7478,mutant-or207
ID7479,mutant-or207
ID7480,mutant-or207
ID7653,none
ID7655,none
ID7656,none
ID7657,none
ID7658,none
ID7660,none
ID7512,none
ID7513,none
ID7514,none
ID7515,none
ID7516,none
ID7551,none
ID7552,none
ID7553,none
ID7554,none
ID8519,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8520,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8521,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8522,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8523,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8509,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8510,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8511,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8516,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8517,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8518,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID2429,mutant-ne992
ID2436,mutant-ne992
ID2404,mutant-ne992
ID2405,mutant-ne992
ID2406,mutant-ne992
ID2407,mutant-ne992
ID2408,mutant-ne992
ID2410,mutant-ne992
ID2411,mutant-ne992
ID2412,mutant-ne992
ID2415,mutant-ne992
ID2416,mutant-ne992
ID2431,mutant-ne992
ID2432,mutant-ne992
ID2433,mutant-ne992
ID2435,mutant-ne992
ID2437,mutant-ne992
ID2438,mutant-ne992
ID2439,mutant-ne992
ID2441,mutant-ne992
ID2442,mutant-ne992
ID2444,mutant-ne992
ID2443,mutant-ne992
ID1951,RNAi-vec10 ;feeding-drop ;24h
ID1952,RNAi-vec10 ;feeding-drop ;24h
ID1954,RNAi-vec10 ;feeding-drop ;24h
ID1955,RNAi-vec10 ;feeding-drop ;24h
ID1956,RNAi-vec10 ;feeding-drop ;24h
ID1957,RNAi-vec10 ;feeding-drop ;24h
ID1958,RNAi-vec10 ;feeding-drop ;24h
ID1803,RNAi-II6F21 ;feeding-drop ;24h
ID1804,RNAi-II6F21 ;feeding-drop ;24h
ID1806,RNAi-II6F21 ;feeding-drop ;24h
ID1807,RNAi-II6F21 ;feeding-drop ;24h
ID1808,RNAi-II6F21 ;feeding-drop ;24h
ID1805,RNAi-II6F21 ;feeding-drop ;24h
ID1986,RNAi-II6F21 ;feeding-drop ;24h
ID1987,RNAi-II6F21 ;feeding-drop ;24h
ID1988,RNAi-II6F21 ;feeding-drop ;24h
ID1983,RNAi-II6F21 ;feeding-drop ;24h
ID1982,RNAi-II6F21 ;feeding-drop ;24h
ID1984,RNAi-II6F21 ;feeding-drop ;24h
ID1820,RNAi-IV6P21 ;feeding-drop ;24h
ID1822,RNAi-IV6P21 ;feeding-drop ;24h
ID1823,RNAi-IV6P21 ;feeding-drop ;24h
ID1825,RNAi-IV6P21 ;feeding-drop ;24h
ID1826,RNAi-IV6P21 ;feeding-drop ;24h
ID1827,RNAi-IV6P21 ;feeding-drop ;24h
ID1821,RNAi-IV6P21 ;feeding-drop ;24h
ID1824,RNAi-IV6P21 ;feeding-drop ;24h
ID8228,RNAi-IV6P21 ;feeding-drop ;24h
ID8229,RNAi-IV6P21 ;feeding-drop ;24h
ID8230,RNAi-IV6P21 ;feeding-drop ;24h
ID8231,RNAi-IV6P21 ;feeding-drop ;24h
ID8232,RNAi-IV6P21 ;feeding-drop ;24h
ID11370,RNAi-IV6P21 ;feeding-drop ;24h
ID11396,RNAi-IV6P21 ;feeding-drop ;24h
ID11397,RNAi-IV6P21 ;feeding-drop ;24h
ID11398,RNAi-IV6P21 ;feeding-drop ;24h
ID1828,RNAi-III4I05 ;feeding-drop ;24h
ID1829,RNAi-III4I05 ;feeding-drop ;24h
ID1830,RNAi-III4I05 ;feeding-drop ;24h
ID1831,RNAi-III4I05 ;feeding-drop ;24h
ID1832,RNAi-III4I05 ;feeding-drop ;24h
ID1833,RNAi-III4I05 ;feeding-drop ;24h
ID1834,RNAi-III4I05 ;feeding-drop ;24h
ID2259,RNAi-I3P15 ;feeding-drop ;24h
ID2260,RNAi-I3P15 ;feeding-drop ;24h
ID2261,RNAi-I3P15 ;feeding-drop ;24h
ID2263,RNAi-I3P15 ;feeding-drop ;24h
ID2264,RNAi-I3P15 ;feeding-drop ;24h
ID2265,RNAi-I3P15 ;feeding-drop ;24h
ID2266,RNAi-I3P15 ;feeding-drop ;24h
ID2273,RNAi-I3P15 ;feeding-drop ;24h
ID2267,RNAi-I3P15 ;feeding-drop ;24h
ID2268,RNAi-I3P15 ;feeding-drop ;24h
ID2269,RNAi-I3P15 ;feeding-drop ;24h
ID2270,RNAi-I3P15 ;feeding-drop ;24h
ID2271,RNAi-I3P15 ;feeding-drop ;24h
ID2272,RNAi-I3P15 ;feeding-drop ;24h
ID2262,RNAi-I3P15 ;feeding-drop ;24h
ID1655,RNAi-III4I09 ;feeding-drop ;24h
ID1656,RNAi-III4I09 ;feeding-drop ;24h
ID1658,RNAi-III4I09 ;feeding-drop ;24h
ID1660,RNAi-III4I09 ;feeding-drop ;24h
ID1659,RNAi-III4I09 ;feeding-drop ;24h
ID1027,RNAi-I3L24 ;feeding-drop ;24h
ID1028,RNAi-I3L24 ;feeding-drop ;24h
ID1029,RNAi-I3L24 ;feeding-drop ;24h
ID1030,RNAi-I3L24 ;feeding-drop ;24h
ID1031,RNAi-I3L24 ;feeding-drop ;24h
ID1032,RNAi-I3L24 ;feeding-drop ;24h
ID1033,RNAi-I3L24 ;feeding-drop ;24h
ID5255,none
ID5256,none
ID5257,none
ID7620,none
ID7621,none
ID7622,none
ID7623,none
ID7624,none
ID7628,none
ID4985,none
ID4986,none
ID4987,none
ID4989,none
ID4991,none
ID4992,none
ID1752,none
ID1753,none
ID1801,none
ID1809,none
ID1864,none
ID1865,none
ID1867,none
ID1868,none
ID1869,none
ID1866,none
ID1901,none
ID1902,none
ID1903,none
ID1904,none
ID1905,none
ID1906,none
ID1907,none
ID1908,none
ID1914,none
ID1915,none
ID1916,none
ID1917,none
ID1918,none
ID1919,none
ID1601,none
ID1602,none
ID1603,none
ID1604,none
ID9251,none
ID9302,none
ID9303,none
ID9304,none
ID9305,none
ID9306,none
ID9308,none
ID9309,none
ID9310,none
ID9307,none
ID11180,none
ID11182,none
ID11183,none
ID11184,none
ID11185,none
ID11188,none
ID11203,none
ID11204,none
ID11205,none
ID11206,none
ID11207,none
ID11208,none
ID11254,none
ID11267,none
ID11268,none
ID11269,none
ID11271,none
ID11257,none
ID11258,none
ID11260,none
ID11261,none
ID11265,none
ID11274,none
ID11279,none
ID11297,none
ID11302,none
ID11163,none
ID11164,none
ID11165,none
ID11166,none
ID11168,none
ID11177,none
ID11178,none
ID11179,none
ID11169,none
ID11170,none
ID11171,none
ID11172,none
ID11174,none
ID11176,none
ID11561,none
ID11562,none
ID11563,none
ID11552,none
ID11553,none
ID11554,none
ID11555,none
ID11556,none
ID11557,none
ID11558,none
ID11559,none
ID12245,none
ID12246,none
ID12247,none
ID12249,none
ID12251,none
ID12252,none
ID12253,none
ID12256,none
ID11962,none
ID11963,none
ID11965,none
ID11966,none
ID11967,none
ID11968,none
ID11969,none
ID11970,none
ID11971,none
ID11973,none
ID11976,none
ID11977,none
ID11978,none
ID11983,none
ID11984,none
ID12045,none
ID12047,none
ID3920,RNAi-vec7 ;feeding-drop ;24h
ID3921,RNAi-vec7 ;feeding-drop ;24h
ID3925,RNAi-vec7 ;feeding-drop ;24h
ID2566,RNAi-II5H18 ;feeding-drop ;24h
ID2567,RNAi-II5H18 ;feeding-drop ;24h
ID2569,RNAi-II5H18 ;feeding-drop ;24h
ID2570,RNAi-II5H18 ;feeding-drop ;24h
ID2572,RNAi-II5H18 ;feeding-drop ;24h
ID2573,RNAi-II5H18 ;feeding-drop ;24h
ID2604,RNAi-II5H18 ;feeding-drop ;24h
ID1003,RNAi-III5B24 ;feeding-drop ;24h
ID2002,RNAi-III5B24 ;feeding-drop ;24h
ID2006,RNAi-III5B24 ;feeding-drop ;24h
ID2007,RNAi-III5B24 ;feeding-drop ;24h
ID2008,RNAi-III5B24 ;feeding-drop ;24h
ID2010,RNAi-III5B24 ;feeding-drop ;24h
ID2011,RNAi-III5B24 ;feeding-drop ;24h
ID2013,RNAi-III5B24 ;feeding-drop ;24h
ID2014,RNAi-III5B24 ;feeding-drop ;24h
ID5966,RNAi-III5B24 ;feeding-drop ;48h
ID5968,RNAi-III5B24 ;feeding-drop ;48h
ID5971,RNAi-III5B24 ;feeding-drop ;48h
ID5967,RNAi-III5B24 ;feeding-drop ;48h
ID5861,RNAi-III5B24 ;feeding-drop ;36h
ID5854,RNAi-III5B24 ;feeding-drop ;36h
ID5855,RNAi-III5B24 ;feeding-drop ;36h
ID5857,RNAi-III5B24 ;feeding-drop ;36h
ID5858,RNAi-III5B24 ;feeding-drop ;36h
ID5859,RNAi-III5B24 ;feeding-drop ;36h
ID3756,RNAi-IV3N16 ;feeding-drop ;24h
ID3758,RNAi-IV3N16 ;feeding-drop ;24h
ID3364,RNAi-II7F24 ;feeding-drop ;24h
ID3365,RNAi-II7F24 ;feeding-drop ;24h
ID3366,RNAi-II7F24 ;feeding-drop ;24h
ID3367,RNAi-II7H02 ;feeding-drop ;24h
ID3368,RNAi-II7H02 ;feeding-drop ;24h
ID3369,RNAi-II7H02 ;feeding-drop ;24h
ID7664,RNAi-IV3O14 ;feeding-drop ;24h
ID7665,RNAi-IV3O14 ;feeding-drop ;24h
ID7666,RNAi-IV3O14 ;feeding-drop ;24h
ID7667,RNAi-IV3O14 ;feeding-drop ;24h
ID7668,RNAi-IV3O14 ;feeding-drop ;24h
ID7669,RNAi-IV3O14 ;feeding-drop ;24h
ID7670,RNAi-IV3O14 ;feeding-drop ;24h
ID7671,RNAi-IV3O14 ;feeding-drop ;24h
ID4644,RNAi-III6H23 ;feeding-drop ;24h
ID4646,RNAi-III6H23 ;feeding-drop ;24h
ID4647,RNAi-III6H23 ;feeding-drop ;24h
ID4648,RNAi-III6H23 ;feeding-drop ;24h
ID2622,RNAi-III6H23 ;feeding-drop ;24h
ID2623,RNAi-III6H23 ;feeding-drop ;24h
ID2624,RNAi-III6H23 ;feeding-drop ;24h
ID2625,RNAi-III6H23 ;feeding-drop ;24h
ID2626,RNAi-III6H23 ;feeding-drop ;24h
ID2627,RNAi-III6H23 ;feeding-drop ;24h
ID7609,RNAi-vec06 ;feeding-drop ;24h
ID7618,RNAi-vec06 ;feeding-drop ;24h
ID7610,RNAi-vec06 ;feeding-drop ;24h
ID7611,RNAi-vec06 ;feeding-drop ;24h
ID7612,RNAi-vec06 ;feeding-drop ;24h
ID7613,RNAi-vec06 ;feeding-drop ;24h
ID7614,RNAi-vec06 ;feeding-drop ;24h
ID7616,RNAi-vec06 ;feeding-drop ;24h
ID7617,RNAi-vec06 ;feeding-drop ;24h
ID4003,RNAi-II5J10 ;injection ;40h
ID4005,RNAi-II5J10 ;injection ;40h
ID4001,RNAi-II5J10 ;injection ;40h
ID4002,RNAi-II5J10 ;injection ;40h
ID3982,RNAi-II5J10 ;injection ;40h
ID3981,RNAi-II5J10 ;injection ;40h
ID4101,RNAi-II5J10 ;injection ;40h
ID4102,RNAi-II5J10 ;injection ;40h
ID4103,RNAi-II5J10 ;injection ;40h
ID4104,RNAi-II5J10 ;injection ;40h
ID5881,RNAi-II5J10 ;feeding-drop ;24h
ID5882,RNAi-II5J10 ;feeding-drop ;24h
ID5883,RNAi-II5J10 ;feeding-drop ;24h
ID5884,RNAi-II5J10 ;feeding-drop ;24h
ID5885,RNAi-II5J10 ;feeding-drop ;24h
ID5886,RNAi-II5J10 ;feeding-drop ;24h
ID5887,RNAi-II5J10 ;feeding-drop ;24h
ID1008,RNAi-II5J10 ;feeding-drop ;24h
ID1010,RNAi-II5J10 ;feeding-drop ;24h
ID934,RNAi-II5J10 ;feeding-drop ;24h
ID1011,RNAi-II5J10 ;feeding-drop ;24h
ID1013,RNAi-II5J10 ;feeding-drop ;24h
ID4806,mutant-ev571
ID4807,mutant-ev571
ID4808,mutant-ev571
ID4809,mutant-ev571
ID4810,mutant-ev571
ID4812,mutant-ev571
ID9170,RNAi-II5J10 ;feeding-3mM ;16h
ID9171,RNAi-II5J10 ;feeding-3mM ;16h
ID9172,RNAi-II5J10 ;feeding-3mM ;16h
ID9173,RNAi-II5J10 ;feeding-3mM ;16h
ID9174,RNAi-II5J10 ;feeding-3mM ;16h
ID9387,RNAi-II5J10 ;feeding-3mM ;16h
ID9382,RNAi-II5J10 ;feeding-3mM ;16h
ID9383,RNAi-II5J10 ;feeding-3mM ;16h
ID9384,RNAi-II5J10 ;feeding-3mM ;16h
ID9385,RNAi-II5J10 ;feeding-3mM ;16h
ID9386,RNAi-II5J10 ;feeding-3mM ;16h
ID12476,RNAi-II5J10 ;feeding ;3mM_24h
ID12477,RNAi-II5J10 ;feeding ;3mM_24h
ID12480,RNAi-II5J10 ;feeding ;3mM_24h
ID12481,RNAi-II5J10 ;feeding ;3mM_24h
ID12572,RNAi-II5J10 ;feeding ;3mM_24h
ID12573,RNAi-II5J10 ;feeding ;3mM_24h
ID12575,RNAi-II5J10 ;feeding ;3mM_24h
ID12577,RNAi-II5J10 ;feeding ;3mM_24h
ID12580,RNAi-II5J10 ;feeding ;3mM_24h
ID2417,RNAi-III1A24 ;feeding-drop ;36h
ID2418,RNAi-III1A24 ;feeding-drop ;36h
ID2420,RNAi-III1A24 ;feeding-drop ;36h
ID2421,RNAi-III1A24 ;feeding-drop ;36h
ID2422,RNAi-III1A24 ;feeding-drop ;36h
ID2425,RNAi-III1A24 ;feeding-drop ;36h
ID2424,RNAi-III1A24 ;feeding-drop ;36h
ID2427,RNAi-III1A24 ;feeding-drop ;36h
ID2428,RNAi-III1A24 ;feeding-drop ;36h
ID2430,RNAi-III1A24 ;feeding-drop ;36h
ID2276,RNAi-III1A12 ;feeding-drop ;24h
ID2274,RNAi-III1A12 ;feeding-drop ;24h
ID2275,RNAi-III1A12 ;feeding-drop ;24h
ID2279,RNAi-III1A12 ;feeding-drop ;24h
ID2281,RNAi-III1A12 ;feeding-drop ;24h
ID2283,RNAi-III1A12 ;feeding-drop ;24h
ID2285,RNAi-III1A12 ;feeding-drop ;24h
ID2287,RNAi-III1A12 ;feeding-drop ;24h
ID2299,RNAi-III1A12 ;feeding-drop ;24h
ID2300,RNAi-III1A12 ;feeding-drop ;24h
ID2301,RNAi-III1A12 ;feeding-drop ;24h
ID2302,RNAi-III1A12 ;feeding-drop ;24h
ID2288,RNAi-III1A24 ;feeding-drop ;24h
ID2289,RNAi-III1A24 ;feeding-drop ;24h
ID2290,RNAi-III1A24 ;feeding-drop ;24h
ID2291,RNAi-III1A24 ;feeding-drop ;24h
ID2292,RNAi-III1A24 ;feeding-drop ;24h
ID2295,RNAi-III1A24 ;feeding-drop ;24h
ID2296,RNAi-III1A24 ;feeding-drop ;24h
ID2294,RNAi-III1A24 ;feeding-drop ;24h
ID2297,RNAi-III1A24 ;feeding-drop ;24h
ID2284,RNAi-III1A24 ;feeding-drop ;24h
ID2282,RNAi-III1A24 ;feeding-drop ;24h
ID2286,RNAi-III1A24 ;feeding-drop ;24h
ID2298,RNAi-III1A24 ;feeding-drop ;24h
ID7672,RNAi-II5G20 ;feeding-drop ;24h
ID7673,RNAi-II5G20 ;feeding-drop ;24h
ID7674,RNAi-II5G20 ;feeding-drop ;24h
ID7675,RNAi-II5G20 ;feeding-drop ;24h
ID7676,RNAi-II5G20 ;feeding-drop ;24h
ID7677,RNAi-II5G20 ;feeding-drop ;24h
ID7679,RNAi-II5G20 ;feeding-drop ;24h
ID1152,RNAi-III1C04 ;feeding-drop ;24h
ID1147,RNAi-III1C04 ;feeding-drop ;24h
ID1148,RNAi-III1C04 ;feeding-drop ;24h
ID1149,RNAi-III1C04 ;feeding-drop ;24h
ID1150,RNAi-III1C04 ;feeding-drop ;24h
ID1151,RNAi-III1C04 ;feeding-drop ;24h
ID6524,RNAi-vec37 ;feeding-drop ;24h
ID6525,RNAi-vec37 ;feeding-drop ;24h
